Ticketid,Category,Subcategory_1,Subcategory_2,Subcategory_3
94189,Segnalazioni,Attività produttive,Pubblici esercizi,RumorositÃ 
94190,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Rifiuti urbani
94191,Segnalazioni,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Carenti
94193,Segnalazioni,Verde pubblico,Alberi/rami,Danneggiati
94195,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Rifiuti urbani
94196,Segnalazioni,Degrado sociale,Segnalazioni,Senza fissa dimora
94197,Segnalazioni,,,
94199,Segnalazioni,Verde pubblico,Alberi/rami,Invadenti
94200,Segnalazioni,Viabilità e traffico,Segnaletica ai sensi del CdS,Richiesta installazione/variazione
94201,Segnalazioni,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Danneggiati
94203,Segnalazioni,Arredo urbano,Segnaletica verticale non ai sensi del CdS,Danneggiata/imbrattata
94204,Segnalazioni,Verde pubblico,Aree verdi,Danneggiate
94206,Segnalazioni,Viabilità e traffico,,
94208,Segnalazioni,,,
94209,Segnalazioni,Animali,Cani,Maltrattati
94210,Segnalazioni,Degrado urbano,Piazze/strade,Imbrattate
94211,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Rifiuti urbani
94212,Segnalazioni,Arredo urbano,Contenitori rifiuti,Maleodoranti/stracolmi
94213,Segnalazioni,,,
94214,Segnalazioni,,,
94215,Segnalazioni,Degrado urbano,,
94216,Segnalazioni,Animali,Cani,Maltrattati
94217,Segnalazioni,,,
94220,Segnalazioni,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Imbrattati/sporchi
94221,Segnalazioni,Verde pubblico,Aree verdi,Incuria/sporche
94222,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
94223,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Danneggiata
94226,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
94227,Segnalazioni,Arredo urbano,Contenitori rifiuti,Maleodoranti/stracolmi
94228,Segnalazioni,Degrado urbano,Edifici pubblici,Danneggiati
94230,Segnalazioni,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Non/mal funzionanti
94233,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Progettazione e modifica
94234,Segnalazioni,Attività produttive,AttivitÃ  commerciali,IrregolaritÃ  dell'occupazione di suolo pubblico
94236,Segnalazioni,Degrado sociale,Segnalazioni,Bivacco
94237,Segnalazioni,Animali,Insetti,Zanzara tigre
94239,Segnalazioni,Degrado urbano,Piazze/strade,Dissestate
94240,Segnalazioni,Degrado sociale,Segnalazioni,Bivacco
94241,Segnalazioni,,,
94243,Segnalazioni,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Dissestati
94244,Segnalazioni,,,
94245,Segnalazioni,,,
94246,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Veicoli abbandonati/carcasse di veicoli
94248,Segnalazioni,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Danneggiati/manomessi
94249,Segnalazioni,Viabilità e traffico,Circolazione,Violazione codice della strada
94250,Segnalazioni,Arredo urbano,Fontane,Danneggiate/incuria
94251,Segnalazioni,Degrado sociale,Segnalazioni,Bivacco
94252,Segnalazioni,Verde pubblico,Aree verdi,Incuria/sporche
94253,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Rifiuti urbani
94255,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
94257,Segnalazioni,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Carenti
94258,Segnalazioni,Viabilità e traffico,Segnaletica ai sensi del CdS,Richiesta installazione/variazione
94259,Segnalazioni,,,
94264,Segnalazioni,Arredo urbano,Contenitori rifiuti,Da spostare
94265,Segnalazioni,Verde privato,Aree verdi,Incuria
94267,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Rifiuti urbani
94268,Segnalazioni,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Carenti
94269,Segnalazioni,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Danneggiati
94271,Segnalazioni,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Danneggiati
94272,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
94274,Segnalazioni,Verde privato,Alberi/rami,Danneggiati/ammalati
94276,Segnalazioni,Viabilità e traffico,Segnaletica ai sensi del CdS,Danneggiata
94277,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Rifiuti urbani
94278,Segnalazioni,Degrado ambientale,Sporcizia/deiezioni/problemi igienici,
94279,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Carente
94280,Segnalazioni,Servizi comunali,Altri servizi,
94288,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Veicoli abbandonati/carcasse di veicoli
94290,Segnalazioni,Verde pubblico,Alberi/rami,
94291,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
94292,Segnalazioni,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Danneggiati
94293,Segnalazioni,Microcriminalità,Comportamenti sanzionabili,
94294,Segnalazioni,Animali,Roditori,Presenze
94296,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
94297,Segnalazioni,Verde pubblico,Alberi/rami,Invadenti
94298,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
94299,Segnalazioni,Viabilità e traffico,Circolazione,Violazione codice della strada
94300,Segnalazioni,Viabilità e traffico,Circolazione,Violazione codice della strada
94301,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Danneggiata
94302,Segnalazioni,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Non/mal funzionanti
94303,Segnalazioni,Verde pubblico,Aree verdi,Incuria/sporche
94304,Segnalazioni,Arredo urbano,Impianti sportivi,Danneggiati/incuria
94305,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Carente
94309,Segnalazioni,Degrado urbano,Piazze/strade,Dissestate
94310,Segnalazioni,Arredo urbano,Impianti sportivi,Danneggiati/incuria
94311,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
94312,Segnalazioni,Degrado ambientale,Sporcizia/deiezioni/problemi igienici,Pulizia strade
94313,Segnalazioni,,,
94314,Segnalazioni,Degrado ambientale,Sporcizia/deiezioni/problemi igienici,Sporcizia da persone
94317,Segnalazioni,Verde pubblico,Alberi/rami,Invadenti
94319,Segnalazioni,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Carenti
94323,Segnalazioni,Degrado urbano,Piazze/strade,Dissestate
94324,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
94325,Segnalazioni,Animali,Roditori,Presenze
94326,Segnalazioni,Verde pubblico,Alberi/rami,Incuria
94327,Segnalazioni,Viabilità e traffico,Segnaletica ai sensi del CdS,Richiesta installazione/variazione
94330,Segnalazioni,,,
94332,Segnalazioni,Viabilità e traffico,Circolazione,Violazione codice della strada
